"","user_id","item_id","partition","rating"
"1",106,357566,"train",2.5
"2",106,368668,"train",0
"3",106,257931,"train",4
"4",106,158653,"train",0
"5",106,36045,"train",3.5
"6",106,371654,"train",0.5
"7",106,358088,"train",5.5
"8",106,228897,"train",2.5
"9",106,254344,"train",2
"10",106,236621,"train",0.5
"11",106,377373,"train",6.5
"12",106,373260,"train",4.5
"13",106,179528,"train",0.5
"14",106,246188,"train",1
"15",106,235089,"train",2
"16",106,179528,"test",0.5
"17",106,134280,"test",1.5
"18",106,157426,"test",3.5
"19",106,236621,"test",0.5
"20",106,235089,"test",2
"21",106,4884,"test",2
"22",106,236620,"test",1
"23",106,5134,"test",0
"24",106,36045,"test",3.5
"25",106,87477,"test",10
"26",106,237114,"test",10
"27",106,358088,"test",5.5
"28",106,373260,"test",4.5
"29",106,237283,"test",7.5
"30",124,366653,"train",0.5
"31",124,367351,"train",8
"32",124,179528,"train",0
"33",124,249233,"train",1.5
"34",124,368024,"train",0.5
"35",124,158653,"train",2
"36",124,357566,"train",0
"37",124,236621,"train",0
"38",124,222671,"train",0.5
"39",124,371757,"train",1.5
"40",124,245116,"train",4.5
"41",124,363425,"train",0.5
"42",124,370554,"train",3
"43",124,372724,"train",9.5
"44",124,13276,"train",1.5
"45",124,355770,"train",1
"46",124,350427,"train",2
"47",124,373540,"train",6
"48",124,259851,"train",6.5
"49",124,374901,"train",1.5
"50",124,377373,"train",8
"51",124,158653,"test",2
"52",124,379836,"test",8
"53",124,355770,"test",1
"54",124,378311,"test",0.5
"55",124,87477,"test",0.5
"56",124,245116,"test",4.5
"57",124,373540,"test",6
"58",124,235089,"test",0
"59",124,179528,"test",0
"60",124,253812,"test",6
"61",124,380652,"test",0
"62",124,6066,"test",1
"63",252,6066,"train",0.5
"64",252,370744,"train",0.5
"65",252,236621,"train",0
"66",252,246175,"train",5.5
"67",252,158653,"train",0
"68",252,179528,"train",0
"69",252,373426,"train",1
"70",252,36045,"train",0.5
"71",252,373260,"train",1
"72",252,374061,"train",0.5
"73",252,355587,"train",0.5
"74",252,371654,"train",0.5
"75",252,377373,"train",6.5
"76",252,355770,"train",0
"77",252,235089,"train",0.5
"78",252,259851,"train",0
"79",252,253812,"train",3.5
"80",252,134280,"test",0.5
"81",252,237044,"test",0.5
"82",252,236621,"test",0
"83",252,355587,"test",0.5
"84",252,235089,"test",0.5
"85",252,4884,"test",1.5
"86",252,236766,"test",0
"87",252,373260,"test",1
"88",252,158653,"test",0
"89",252,222671,"test",0
"90",252,179528,"test",0
"91",252,358088,"test",0.5
"92",253,370744,"train",0.5
"93",253,246175,"train",5.5
"94",253,179528,"train",0
"95",253,373426,"train",1
"96",253,36045,"train",0.5
"97",253,236621,"train",0
"98",253,235089,"train",0.5
"99",253,4884,"train",1
"100",253,374061,"train",0.5
"101",253,355587,"train",0.5
"102",253,371654,"train",0.5
"103",253,377373,"train",7
"104",253,134280,"test",0.5
"105",253,237044,"test",0.5
"106",253,235089,"test",0.5
"107",253,236621,"test",0
"108",253,355587,"test",0.5
"109",253,4884,"test",1
"110",253,236766,"test",0
"111",253,373260,"test",1.5
"112",253,380652,"test",0
"113",253,5134,"test",0
"114",254,370744,"train",0.5
"115",254,236621,"train",0
"116",254,246175,"train",5.5
"117",254,179528,"train",0
"118",254,373426,"train",1
"119",254,36045,"train",0.5
"120",254,373260,"train",1
"121",254,235089,"train",0.5
"122",254,4884,"train",1
"123",254,374061,"train",0.5
"124",254,355587,"train",0.5
"125",254,371654,"train",0.5
"126",254,377373,"train",7
"127",254,134280,"test",0.5
"128",254,237044,"test",0.5
"129",254,235089,"test",0.5
"130",254,236621,"test",0
"131",254,355587,"test",0.5
"132",254,4884,"test",1
"133",254,236766,"test",0
"134",254,373260,"test",1
"135",254,379731,"test",1.5
"136",254,179528,"test",0
"137",254,380652,"test",0
"138",254,5134,"test",0
"139",278,186430,"train",1
"140",278,259567,"train",7.5
"141",278,247528,"train",1
"142",278,254909,"train",2.5
"143",278,247527,"train",4.5
"144",278,247730,"train",10
"145",278,363732,"train",10
"146",278,367097,"train",0
"147",278,254908,"train",1
"148",278,367968,"train",10
"149",278,220746,"train",10
"150",278,367516,"train",3.5
"151",278,367098,"train",4
"152",278,123582,"train",7.5
"153",278,4865,"train",0
"154",278,177138,"train",1
"155",278,360037,"train",10
"156",278,360235,"train",0
"157",278,367385,"train",10
"158",278,345306,"train",10
"159",278,370000,"train",8.5
"160",278,247493,"train",0.5
"161",278,355590,"train",0
"162",278,37290,"train",2
"163",278,369728,"train",3.5
"164",278,366165,"train",2
"165",278,359274,"train",0.5
"166",278,256548,"train",2.5
"167",278,246118,"train",10
"168",278,349198,"train",0.5
"169",278,4732,"train",4
"170",278,259506,"train",10
"171",278,361600,"train",0.5
"172",278,372616,"train",10
"173",278,362589,"train",2
"174",278,244777,"train",10
"175",278,370511,"train",3.5
"176",278,374895,"train",10
"177",278,254033,"train",10
"178",278,4754,"train",2.5
"179",278,374952,"train",10
"180",278,360240,"train",10
"181",278,221620,"train",0
"182",278,259508,"train",10
"183",278,355584,"train",10
"184",278,351522,"train",10
"185",278,235343,"train",10
"186",278,243646,"train",10
"187",278,368443,"train",10
"188",278,257494,"train",4.5
"189",278,370552,"train",1
"190",278,375616,"train",1
"191",278,375998,"train",8
"192",278,375556,"train",2.5
"193",278,373792,"train",6.5
"194",278,221541,"train",1
"195",278,364373,"train",2.5
"196",278,355580,"train",6.5
"197",278,81569,"train",10
"198",278,257089,"train",1.5
"199",278,373260,"train",0
"200",278,377326,"train",1.5
"201",278,377325,"train",10
"202",278,179528,"train",0
"203",278,254344,"train",0
"204",278,369713,"train",10
"205",278,235089,"train",0
"206",278,357948,"train",6
"207",278,377373,"train",0
"208",278,376641,"train",2
"209",278,255964,"train",0.5
"210",278,355705,"train",0.5
"211",278,254289,"train",8
"212",278,374896,"train",4.5
"213",278,372618,"train",0
"214",278,361815,"train",2.5
"215",278,379555,"test",0.5
"216",278,378800,"test",10
"217",278,375464,"test",5.5
"218",278,4732,"test",4
"219",278,4754,"test",2.5
"220",278,193050,"test",0
"221",278,238058,"test",0
"222",278,100074,"test",0
"223",278,179528,"test",0
"224",278,372613,"test",1
"225",278,247493,"test",0.5
"226",278,177138,"test",1
"227",278,355705,"test",0.5
"228",278,4865,"test",0
"229",278,352423,"test",0.5
"230",278,380505,"test",5
"231",278,254909,"test",2.5
"232",278,247528,"test",1
"233",278,221541,"test",1
"234",278,366168,"test",10
"235",278,381402,"test",10
"236",278,374901,"test",0
"237",278,355590,"test",0
"238",278,259507,"test",0
"239",278,351361,"test",1.5
"240",278,4884,"test",0
"241",278,37290,"test",2
"242",280,224776,"train",4
"243",280,247528,"train",1
"244",280,254909,"train",3
"245",280,369516,"train",10
"246",280,369515,"train",3.5
"247",280,247527,"train",1.5
"248",280,360036,"train",1.5
"249",280,367385,"train",1.5
"250",280,370000,"train",1.5
"251",280,349198,"train",10
"252",280,256548,"train",5.5
"253",280,186430,"train",0.5
"254",280,177138,"train",0.5
"255",280,359278,"train",0
"256",280,64052,"train",0
"257",280,355705,"train",0.5
"258",280,4884,"train",0
"259",280,372138,"train",8
"260",280,367095,"train",10
"261",280,370556,"train",0.5
"262",280,357566,"train",0
"263",280,228897,"train",6
"264",280,374953,"train",2
"265",280,372545,"train",0
"266",280,246781,"train",0.5
"267",280,257573,"train",0.5
"268",280,221551,"train",1
"269",280,4884,"train",0
"270",280,235089,"train",0
"271",280,355590,"train",0
"272",280,364536,"train",2
"273",280,377325,"train",10
"274",280,254344,"train",0
"275",280,254908,"train",10
"276",280,100074,"train",0
"277",280,365309,"train",10
"278",280,4865,"train",0
"279",280,179528,"train",0
"280",280,4865,"test",0
"281",280,187872,"test",1
"282",280,100074,"test",0
"283",280,355698,"test",1.5
"284",280,179528,"test",0
"285",280,177138,"test",0.5
"286",280,221620,"test",0
"287",280,364369,"test",0.5
"288",280,361815,"test",5
"289",280,375616,"test",0.5
"290",280,236621,"test",0
"291",280,360234,"test",3
"292",280,372545,"test",0
"293",280,5134,"test",0
"294",280,178800,"test",1
"295",280,355438,"test",5.5
"296",280,355705,"test",0.5
"297",280,37290,"test",4
"298",280,254909,"test",3
"299",280,247528,"test",1
"300",280,4754,"test",0.5
"301",431,4884,"train",1
"302",431,257569,"train",0
"303",431,236621,"train",1
"304",431,235089,"train",1
"305",431,237283,"train",1.5
"306",431,347151,"train",0.5
"307",431,237044,"train",0
"308",431,370556,"train",0
"309",431,179528,"train",0
"310",431,236620,"train",0
"311",431,64052,"train",0
"312",431,355587,"train",1
"313",431,370554,"train",0
"314",431,374898,"train",0
"315",431,246188,"train",0
"316",431,377373,"train",0
"317",431,157426,"train",0.5
"318",431,254344,"train",0
"319",431,247791,"train",5
"320",431,377253,"train",1
"321",431,228897,"train",1.5
"322",431,4884,"test",1
"323",431,134280,"test",0
"324",431,228897,"test",1.5
"325",431,235089,"test",1
"326",431,236621,"test",1
"327",431,355587,"test",1
"328",431,157426,"test",0.5
"329",431,373260,"test",1.5
"330",431,348753,"test",0.5
"331",431,87477,"test",0.5
"332",431,237283,"test",1.5
"333",431,236766,"test",1
"334",460,179528,"train",0
"335",460,355599,"train",10
"336",460,236621,"train",0.5
"337",460,235089,"train",0.5
"338",460,370744,"train",5
"339",460,357566,"train",1.5
"340",460,236620,"train",1.5
"341",460,237283,"train",0
"342",460,375558,"train",0
"343",460,371654,"train",0.5
"344",460,373260,"train",1
"345",460,377373,"train",5.5
"346",460,378205,"train",0
"347",460,379836,"test",0
"348",460,179528,"test",0
